id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
103,SSC001,SHROPSHIRE STREET CATS,BASSETT COTTAGE,JUG BANK,Market Drayton,Staffordshire,TF9 4NJ,07443 507526,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
104,SEM001,Sempergreen UK Ltd,125 Wood Street,London,London,Greater London,EC2V 7AW,31(0)343539699,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
105,TEST,TEST001,TEST,TEST,TEST,we,cw1 3lw,,GBR,GEN,GBP,false,false,false,false,false,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
106,HAM001,THE HAPPY HAMSTER COMPANY,UNIT 2A,KING STREET TRADING ESTATE,Middlewich,Cheshire,CW10 9LF,01477 532317,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
107,LAW001,THE LAWN STORE GARDEN PRODUCTS LTD,UNIT 7 WILTON BUSINESS CENTRE,WILTON,Salisbury,Wiltshire,SP2 0AH,01722 744681,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
108,REC003,THE RECLAIMED TIMBER BUSINESS,UNIT 2B IDDENSHALL HALL FARM,RODE STREET,Tarporley,Cheshire,CW6 0EG,07552 608444,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
109,TSS001,THE SHOPFITTING SHOP LTD,UNIT 4B,HOLMES CHAPEL BUSINESS PARK,Crewe,Cheshire,CW4 8AF,0161 4567955,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
110,TIP003,TIPI UNIQUE LTD,UNIT 5-6 WOODFORD COURT,WOODFORD PARK IND EST,Winsford,Cheshire,CW7 2RB,01606 246 125,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
111,TBE001,TONY BULL EXCAVATIONS,THE WILLOWS,MINSHULL LANE,Nantwich,Cheshire,CW5 6EF,7836617721,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
112,TRA011,TRANSPORTIFY LIMITED,THE CHARTER BUILDING,SPACES," UXBRIDGE",,UB8 1JG,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
